MACROPROCESO,Encuestas,Promotores,Neutros,Detractores,%Detractores,NPS,NPS Junio,Detrac Junio,NPS Julio,Detrac Julio,NPS Agosto,Detrac Agosto
Transferencia de Llamada,9.0,4.0,0.0,5.0,55.6,-11.1,33.3,1.0,-20.0,3.0,-100.0,1.0
Indisponibilidad de canales o productos,175.0,88.0,27.0,60.0,34.3,16.0,13.9,24.0,21.6,29.0,-6.7,7.0
Información Oficinas / Corresponsales / Cajeros,45.0,28.0,3.0,14.0,31.1,31.1,53.8,2.0,-13.3,8.0,52.9,4.0
Banco Agrario de Colombia,6175.0,3979.0,688.0,1508.0,24.4,40.0,42.2,507.0,42.5,542.0,33.6,459.0
Renta Ciudadana / Devolución del Iva,336.0,244.0,33.0,59.0,17.6,55.1,50.0,27.0,58.6,25.0,56.5,7.0
Colombia Mayor,15.0,14.0,0.0,1.0,6.7,86.7,50.0,1.0,100.0,0.0,100.0,0.0
Retención o Cancelación TC,1.0,1.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,
